observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3
,..,,,Value,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,World Total,World Total,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
12.0,,,,Number,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,EU,EU,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
1589.0,,,,Value,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,EU,EU,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
3.0,,,,Number,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,Other Europe,Other Europe,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
128.0,,,,Value,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,Other Europe,Other Europe,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
15.0,,,,Number,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,Europe Total,Europe Total,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
1717.0,,,,Value,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,Europe Total,Europe Total,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
9.0,,,,Number,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,USA,USA,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
3691.0,,,,Value,,,,,,,,,,,,,2013.0,2013.0,,Year,,,,,,,,,,,,,,,Area,Area,,USA,USA,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
36.0,,,,Number,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,World Total,World Total,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
5288.0,,,,Value,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,World Total,World Total,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
,..,,,Number,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,EU,EU,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
,..,,,Value,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,EU,EU,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
,..,,,Number,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,Other Europe,Other Europe,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
,..,,,Value,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,Other Europe,Other Europe,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
18.0,,,,Number,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,Europe Total,Europe Total,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
2887.0,,,,Value,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,Europe Total,Europe Total,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
,..,,,Number,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,USA,USA,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
,..,,,Value,,,,,,,,,,,,,2014.0,2014.0,,Year,,,,,,,,,,,,,,,Area,Area,,USA,USA,,,,Mergers,Mergers,,Area Analysis of Disposals Abroad by UK Companies,Area Analysis of Disposals Abroad by UK Companies,,,,Companies,Companies,,TempValue,TempValue,,,
*********,100
