observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4
305.0,,,,Number,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
18709.0,,,,Value,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
186.0,,,,Number,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
9250.0,,,,Value,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
69.0,,,,Number,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
8076.0,,,,Value,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
71.0,,,,Number,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
1383.0,,,,Value,,,,,,,,,,,,,2004.0,2004.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
365.0,,,,Number,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
32732.0,,,,Value,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
239.0,,,,Number,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
20234.0,,,,Value,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
69.0,,,,Number,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
5511.0,,,,Value,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
83.0,,,,Number,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
6987.0,,,,Value,,,,,,,,,,,,,2005.0,2005.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
405.0,,,,Number,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
37412.0,,,,Value,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
277.0,,,,Number,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
28800.0,,,,Value,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
96.0,,,,Number,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
5498.0,,,,Value,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
54.0,,,,Number,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
3114.0,,,,Value,,,,,,,,,,,,,2006.0,2006.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
441.0,,,,Number,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
57814.0,,,,Value,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
289.0,,,,Number,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
34880.0,,,,Value,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
105.0,,,,Number,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
14814.0,,,,Value,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
66.0,,,,Number,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
8120.0,,,,Value,,,,,,,,,,,,,2007.0,2007.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
298.0,,,,Number,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
29670.0,,,,Value,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
196.0,,,,Number,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
17972.0,,,,Value,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
75.0,,,,Number,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
6688.0,,,,Value,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
44.0,,,,Number,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
5010.0,,,,Value,,,,,,,,,,,,,2008.0,2008.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
118.0,,,,Number,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
10148.0,,,,Value,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
97.0,,,,Number,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
7456.0,,,,Value,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
17.0,,,,Number,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
2530.0,,,,Value,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
11.0,,,,Number,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
162.0,,,,Value,,,,,,,,,,,,,2009.0,2009.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
199.0,,,,Number,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
12414.0,,,,Value,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
149.0,,,,Number,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
10507.0,,,,Value,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
38.0,,,,Number,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
1166.0,,,,Value,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
26.0,,,,Number,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
741.0,,,,Value,,,,,,,,,,,,,2010.0,2010.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
286.0,,,,Number,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
50234.0,,,,Value,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
223.0,,,,Number,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
36912.0,,,,Value,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
47.0,,,,Number,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
4999.0,,,,Value,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funded by Loan from UK Parent,Funded by Loan from UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
35.0,,,,Number,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
8323.0,,,,Value,,,,,,,,,,,,,2011.0,2011.0,,Year,,,,,,,,,,,,,,,Category,Category,,Indirect Transactions of which:,Indirect Transactions of which:,,,,Investment,Investment,,Funds Raised Locally Abroad,Funds Raised Locally Abroad,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
122.0,,,,Number,,,,,,,,,,,,,2012.0,2012.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
17933.0,,,,Value,,,,,,,,,,,,,2012.0,2012.0,,Year,,,,,,,,,,,,,,,Category,Category,,Total,Total,,,,Investment,Investment,,,,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
83.0,,,,Number,,,,,,,,,,,,,2012.0,2012.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Number,Number,,,
9523.0,,,,Value,,,,,,,,,,,,,2012.0,2012.0,,Year,,,,,,,,,,,,,,,Category,Category,,Direct Transactions,Direct Transactions,,,,Investment,Investment,,Funds Paid Directly by UK Parent,Funds Paid Directly by UK Parent,,,,Category,Category,,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,Mergers and Acquisitions Abroad by UK Companies: Source of Funding,,,,Measure,Measure,,Value,Value,,,
